f1_macro,accuracy,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage,generalization_gap
0.8084543510075424,0.8461538461538461,0.934665491410196,0.800684789999429,11,6,XGBoost,test,0.19154564899245763
1.0,1.0,1.0,1.0,11,6,ExtraTrees,train,0.3345029239766082
0.6654970760233918,0.8333333333333334,0.927554710247018,0.7730054513071677,11,6,ExtraTrees,test,0.3345029239766082
1.0,1.0,1.0,1.0,11,6,LightGBM,train,0.12551695244935213
0.8744830475506479,0.8974358974358975,0.9449803283136617,0.8072336024074994,11,6,LightGBM,test,0.12551695244935213
0.9987975547147833,0.9990909090909091,0.9999988933303232,0.9999990301302177,11,6,CatBoost,train,0.13984909576632432
0.858948458948459,0.8717948717948718,0.9736388967158197,0.9148665595179656,11,6,CatBoost,test,0.13984909576632432
0.832205804117443,0.8490909090909091,0.9558799977069746,0.8840572210362714,12,7,LogisticRegression,train,0.31072278263442155
0.5214830214830215,0.717948717948718,0.9310471445644243,0.7716071751581071,12,7,LogisticRegression,test,0.31072278263442155
1.0,1.0,1.0,1.0,12,7,RandomForest,train,0.25681159420289845
0.7431884057971015,0.782051282051282,0.8625101311834867,0.7204503531934964,12,7,RandomForest,test,0.25681159420289845
1.0,1.0,1.0,1.0,12,7,XGBoost,train,0.3117690058479532
0.6882309941520468,0.717948717948718,0.8369267350593995,0.758845719080336,12,7,XGBoost,test,0.3117690058479532
1.0,1.0,1.0,1.0,12,7,ExtraTrees,train,0.18779633065347345
0.8122036693465265,0.8333333333333334,0.9404948797228618,0.8483140363145149,12,7,ExtraTrees,test,0.18779633065347345
1.0,1.0,1.0,1.0,12,7,LightGBM,train,0.23598271217318834
0.7640172878268117,0.8076923076923077,0.8977070031417856,0.8290073583747372,12,7,LightGBM,test,0.23598271217318834
0.9987975547147833,0.9990909090909091,1.0,1.0,12,7,CatBoost,train,0.2791579019673174
0.7196396527474659,0.7564102564102564,0.9062897814848762,0.8330618467590027,12,7,CatBoost,test,0.2791579019673174
0.8352960617028665,0.8507734303912647,0.9572300278596056,0.8883251058052455,13,8,LogisticRegression,train,0.39763545937991457
0.43766060232295195,0.4430379746835443,0.921891771891772,0.7843067760567616,13,8,LogisticRegression,test,0.39763545937991457
1.0,1.0,1.0,1.0,13,8,RandomForest,train,0.22141706924315618
0.7785829307568438,0.8734177215189873,0.9523487023487024,0.8903509789372325,13,8,RandomForest,test,0.22141706924315618
1.0,1.0,1.0,1.0,13,8,XGBoost,train,0.12222222222222223
0.8777777777777778,0.9240506329113924,0.9736419736419736,0.9414541931764283,13,8,XGBoost,test,0.12222222222222223
1.0,1.0,1.0,1.0,13,8,ExtraTrees,train,0.37800687285223367
0.6219931271477663,0.8354430379746836,0.967014967014967,0.9049308756482181,13,8,ExtraTrees,test,0.37800687285223367
1.0,1.0,1.0,1.0,13,8,LightGBM,train,0.20872865275142305
0.791271347248577,0.8860759493670886,0.9858759858759859,0.9721688589703078,13,8,LightGBM,test,0.20872865275142305
0.9987975547147833,0.9990900818926297,1.0,1.0,13,8,CatBoost,train,0.2818384903872979
0.7169590643274854,0.8607594936708861,0.9713109713109712,0.92344714065917,13,8,CatBoost,test,0.2818384903872979
0.8231709655605733,0.8381818181818181,0.9502334525787587,0.8650007795985334,14,9,LogisticRegression,train,-0.16550005840456827
0.9886710239651416,0.9871794871794872,1.0,1.0,14,9,LogisticRegression,test,-0.16550005840456827
1.0,1.0,1.0,1.0,14,9,RandomForest,train,0.017254901960784275
0.9827450980392157,0.9871794871794872,1.0,1.0,14,9,RandomForest,test,0.017254901960784275
1.0,1.0,1.0,1.0,14,9,XGBoost,train,0.0
1.0,1.0,1.0,1.0,14,9,XGBoost,test,0.0
1.0,1.0,1.0,1.0,14,9,ExtraTrees,train,0.017254901960784275
0.9827450980392157,0.9871794871794872,1.0,1.0,14,9,ExtraTrees,test,0.017254901960784275
1.0,1.0,1.0,1.0,14,9,LightGBM,train,0.0
1.0,1.0,1.0,1.0,14,9,LightGBM,test,0.0
0.9980116450077422,0.9981818181818182,0.9999988933303232,0.9999990301302177,14,9,CatBoost,train,-0.0019883549922578014
1.0,1.0,1.0,1.0,14,9,CatBoost,test,-0.0019883549922578014
